,Unnamed: 0,id,name,neighborhood_overview,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price_$,minimum_nights,maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms,reviews_per_month,xgb_predict_avg,rf_predict_avg,spacy_predict_avg
10,10,1403364,Boat in Rotterdam · ★4.69 · 1 bedroom · 1 bed · 1 bath,Trendy and dynamic neighbourhood 'Witte de Wihtstraat' is just around the corner.<br />Supermarket SPAR  5 minutes walking.<br />there are lots of things to do here close by.,7574324,Esther,within an hour,100%,100%,t,3.0,3,"Rotterdam, So, Netherlands",Stadsdriehoek,51.9149,4.48253,Boat,Entire home/apt,2,,1 bath,,1.0,[],80.0,2,7,1125,555,84,3,2013-11-05,2023-12-16,4.69,4.75,4.77,4.8,4.79,4.88,4.61,t,2,2,0,4.5,4.982332155477032,4.925795053003534,4.282685512367491
11,11,1419544,Rental unit in Rotterdam · ★4.25 · 2 bedrooms · 2 beds · 1.5 baths,"Teilingerstraat is a quiet, lush, lovely street with neighborhood restaurants, bar and convenience stores. The street has a wide pedestrian area covered by trees and ideal for sit outs.",52802754,Anneloes,,,,f,1.0,1,"Rotterdam, South Holland, Netherlands",Agniesebuurt,51.92991,4.47681,Entire rental unit,Entire home/apt,2,,1.5 baths,,2.0,[],75.0,56,60,60,20,0,0,2015-07-31,2021-05-23,4.25,4.15,3.7,4.5,4.35,4.75,4.15,f,1,1,0,0.2,4.933333333333334,4.866666666666666,4.533333333333333
12,12,1436796,Hostel in Rotterdam · ★4.79 · 1 bedroom · 8 beds · 3 shared baths,"You won’t find us on a busy bar street — at Ani&Haakien you’ll get a good night’s sleep - but no worries, the young and bustling Central District area of Rotterdam with good coffee places, awesome design shops, rooftop bars, jazz and the electronic night life is just a dance away! So, forget about walking around with your heavy bag… drop it at the hostel, and let us tell you all about the cool stuff to do in Rotterdam. Hostel Ani & Haakien is the perfect hub for day trips! Just 10min to Delft / 40min to Amsterdam / 40min to Utrecht and 20min to The Hague!",7718807,Hostel Ani & Haakien,within a few hours,100%,49%,f,5.0,5,"Rotterdam, South Holland, Netherlands",Cs Kwartier,51.92259,4.46505,Shared room in hostel,Shared room,8,,3 shared baths,,8.0,[],35.0,1,1125,1125,56,3,0,2016-02-21,2023-11-18,4.79,4.82,4.73,4.82,4.84,4.91,4.73,f,5,0,5,0.59,4.902439024390244,4.853658536585366,4.097560975609756
13,13,1439548,Hostel in Rotterdam · ★4.72 · 1 bedroom · 12 beds · 1.5 shared baths,"You won’t find us on a busy bar street — at Ani&Haakien you’ll get a good night’s sleep<br />But no worries, the young and bustling Central District area of Rotterdam with good coffee places, awesome design shops and bars are really nearby! Drop your heavy bags at the hostel, and let us tell you all about the cool stuff to do in Rotterdam. Hostel Ani & Haakien is the perfect hub for day trips! Just 10min to Delft / 40min to Amsterdam / 40min to Utrecht and 20min to The Hague!",7718807,Hostel Ani & Haakien,within a few hours,100%,49%,f,5.0,5,"Rotterdam, South Holland, Netherlands",Oude Westen,51.92088,4.46529,Shared room in hostel,Shared room,12,,1.5 shared baths,,12.0,[],35.0,1,31,31,167,8,0,2013-09-06,2023-11-10,4.72,4.78,4.75,4.83,4.84,4.81,4.7,f,5,0,5,1.33,4.955882352941177,4.9338235294117645,4.198529411764706
14,14,1504950,Barn in Rotterdam · ★4.90 · 2 bedrooms · 4 beds · 1.5 baths,"Het Guesthouse is gelegen aan de rand van het Schiebroekse park waar je heerlijk kunt wandelen, hardlopen en fietsen. Families met kleine kinderen vinden op loopafstand van Guesthouse familiepark Plaswijckpark! In Rotterdam Hillegersberg zijn tal van leuke winkels en restaurantjes te vinden.",8040675,Det,within a day,100%,81%,t,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Hillegersberg Noord,51.96387,4.48423,Barn,Entire home/apt,5,,1.5 baths,,4.0,[],138.0,7,1125,1125,124,13,0,2014-10-13,2023-11-09,4.9,4.93,4.92,4.91,4.95,4.84,4.76,f,1,1,0,1.11,4.9375,4.916666666666667,4.458333333333333
15,15,1634923,Houseboat in Rotterdam · ★4.74 · 1 bedroom · 1 bed · 1 bath,Trendy and dynamic neighbourhood 'Witte de Withstraat' is just around the corner.<br />Supermarket SPAR  5 minutes walking.<br />there are lots of things to do in this area..,7574324,Esther,within an hour,100%,100%,t,3.0,3,"Rotterdam, Zu, Netherlands",Stadsdriehoek,51.91377,4.48509,Houseboat,Entire home/apt,2,,1 bath,,1.0,[],79.0,2,7,1125,263,77,4,2016-01-03,2023-12-17,4.74,4.8,4.78,4.83,4.8,4.92,4.63,f,2,2,0,2.71,4.992307692307692,4.915384615384616,4.3538461538461535
16,16,1705269,Condo in Rotterdam · ★4.63 · 1 bedroom · 1 bed · 1.5 baths,"I'm located in Rotterdam West, at about a 5-minute bike ride away from the Central Station and about 10 minutes from downtown Rotterdam. It's a great neighborhood with an excellent mix of residential and commercial areas,  lots of young families, creatives, and people from all over. There's plenty of green space around, as well as nice restaurants and bars all within walking and biking distance.",9001123,Sjoerd,,,50%,f,1.0,1,"Rotterdam, South Holland, Netherlands",Nieuwe Westen,51.91967,4.45008,Entire condo,Entire home/apt,1,,1.5 baths,,1.0,[],,21,130,130,19,2,0,2013-10-22,2023-10-30,4.63,4.67,4.61,4.94,5.0,4.83,4.44,f,1,1,0,0.15,5.0,4.941176470588236,4.647058823529412
17,17,1790922,Rental unit in Rotterdam · ★4.32 · 1 bedroom · 1 bed · 1 bath,,9396518,Jose,within an hour,90%,100%,f,1.0,1,,Tarwewijk,51.8901847,4.4877116,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],103.0,1,1125,1125,25,25,0,2023-05-20,2023-10-29,4.32,4.28,4.52,4.92,4.76,4.48,4.12,t,1,1,0,3.44,4.909090909090909,4.818181818181818,4.0
18,18,1839719,Boat in Rotterdam · ★4.87 · 8 bedrooms · 22 beds · 3 baths,"Het historisch scheepvaartkwartier is een mooi dorp in Rotterdam centrum.<br />Prachtige uitzichten, veel groen, fijn wandelen en uitgaan.",9614440,Pieter,within an hour,100%,97%,f,3.0,3,"Rotterdam, South Holland, Netherlands",Nieuwe Werk,51.90683,4.47869,Boat,Entire home/apt,16,,3 baths,,22.0,[],525.0,2,30,30,53,13,1,2016-05-29,2023-11-26,4.87,4.75,4.55,4.79,4.94,5.0,4.75,f,2,2,0,0.58,5.0,5.0,3.6923076923076925
19,19,2007748,Rental unit in Rotterdam · ★4.81 · 2 bedrooms · 2 beds · 1.5 baths,"Lots of water, ports, activities. Architectual area. very central, lovely parc behind the building.",10333630,Dieter,,,0%,f,1.0,1,"Rotterdam, South Holland, Netherlands",Afrikaanderwijk,51.90575,4.4989,Entire rental unit,Entire home/apt,4,,1.5 baths,,2.0,[],,121,730,730,21,0,0,2014-01-04,2021-08-30,4.81,4.71,4.71,4.9,4.81,4.86,4.62,f,1,1,0,0.17,5.0,5.0,4.75
20,20,2097520,Rental unit in Rotterdam · ★4.77 · 1 bedroom · 2 beds · 1 bath,"ACTIVITIES<br />Rotterdam knows lots of summer festivals and other outings. Especially the smaller festivals are a good occasion to come to Rotterdam and stay at our B & B. In the mini apartment you will find all kinds of brochures, a map of Rotterdam and a calendar with lots of activities. In the park Heemraadsingel, around the corner from Casa La Rosa, the Singelding is located, a cozy place to drink a cup of coffee or to take part to the activities it organizes. In addition, keep yourself up to date with the workshops on healthy cooking that Fabiana organizes through her blog byebyesalsiccia.",10698794,Fabiana & Rocco,,,100%,f,1.0,1,"Rotterdam, South Holland, Netherlands",Nieuwe Westen,51.91794,4.45179,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,[],78.0,10,1125,1125,202,1,0,2014-02-10,2023-01-23,4.77,4.85,4.71,4.88,4.92,4.59,4.74,f,1,1,0,1.68,5.0,4.952,4.464
21,21,2211519,Rental unit in Rotterdam · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,"Welcome to Rubroek, the hidden gem of Rotterdam that's just waiting for you to explore its delights. Get ready to immerse yourself in my neighbourhood where creativity, vintage charm and urban energy converge into a symphony of awesomeness.<br />As you stroll through the streets, you'll find artisinal coffee shops that rival the coolest cafes in the world. Grab a cup of meticulously brewed coffee or a unique herbal tea blend, and take a seat at a wooden table that's practically begging for your indie novel or sketchbook.<br />Vitage affecionados, this neighbourhood has your name written all over it. Explore thrift stores and boutiques that are filled with retro treasures waiting to be discovered.<br />And when the sun sets, the energy of Rubroek transforms yet again.<br />Imagine trendy eateries illuminated by fairy lights, bustling with laughter and conversation. Try unique fusion cuisine or savor artsanal pizza.<br />( list included in house manual).",11266043,M.J.,,,100%,f,1.0,1,"Rotterdam, South Holland, Netherlands",Oude Noorden,51.92674,4.48472,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],,2,2,2,67,1,0,2014-05-19,2023-08-27,4.88,4.94,4.88,4.93,4.97,4.9,4.84,f,1,1,0,0.57,4.948275862068965,4.931034482758621,4.706896551724138
22,22,2317332,Rental unit in Rotterdam · ★4.87 · 2 bedrooms · 4 beds · 1.5 baths,"The neighbourhood is multi cultural with a wide variety of shops, restaurants and take aways. <br />People are easy going and my quests are mostly positive surpriced.",11834678,Maarten,within an hour,100%,97%,t,1.0,1,"Rotterdam, South Holland, Netherlands",Spangen,51.91835,4.44317,Entire rental unit,Entire home/apt,5,,1.5 baths,,4.0,[],90.0,1,60,60,387,24,0,2015-05-02,2023-08-13,4.87,4.89,4.85,4.95,4.94,4.77,4.78,f,1,1,0,3.68,4.991452991452992,4.978632478632479,4.337606837606837
23,23,2417980,Bed and breakfast in Rotterdam · ★4.90 · 1 bedroom · 2 beds · 1 shared bath,,12357210,Yvonne,within an hour,100%,100%,t,1.0,1,,Overschie,51.93911,4.41969,Private room in bed and breakfast,Private room,2,,1 shared bath,,2.0,[],75.0,2,60,60,217,27,1,2014-03-20,2023-11-26,4.9,4.9,4.92,4.96,4.96,4.85,4.9,f,1,0,0,1.83,4.986666666666666,4.946666666666666,4.453333333333333
24,24,2692286,Townhouse in Rotterdam · ★4.87 · 2 bedrooms · 1 bed · 1 shared bath,Nice and quiet with free parking.,13768594,Eliza,within an hour,100%,80%,t,2.0,2,"Rotterdam, South Holland, Netherlands",Nesselande,51.96857,4.58284,Private room in townhouse,Private room,1,,1 shared bath,,1.0,[],55.0,2,31,31,62,2,0,2014-05-08,2023-05-13,4.87,4.8,4.93,4.93,4.97,4.7,4.78,f,2,0,0,0.53,5.0,5.0,4.533333333333333
25,25,3461082,Rental unit in Rotterdam · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,"The apartment is very close to the Kralingse Plas, a very nice part of Rotterdam. Here you also have good restaurants and hangouts.",4932763,Evelien,within a day,100%,0%,f,1.0,2,"Rotterdam, South Holland, Netherlands",Kralingen Oost,51.92752,4.51779,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],70.0,180,365,365,16,0,0,2014-07-14,2020-08-30,4.75,4.81,4.69,4.69,4.75,4.56,4.63,f,1,1,0,0.14,5.0,4.866666666666666,4.666666666666667
26,26,3561821,Rental unit in Rotterdam · ★4.42 · 2 bedrooms · 3 beds · 3 baths,"The area is conveniently closed to the Main Central Station and to the city center. If you have a car, access to and from main highways is fast and well indicated. There is plenty of green in the surroundings and the people are friendly.",6052050,Cristina Cassandra,within a few hours,100%,0%,f,1.0,1,"Rotterdam, South Holland, Netherlands",Cs Kwartier,51.92306,4.46677,Entire rental unit,Entire home/apt,2,,3 baths,,3.0,[],86.0,60,240,1125,12,0,0,2015-12-20,2022-07-08,4.42,4.25,4.08,4.92,4.92,5.0,4.08,f,1,1,0,0.12,4.909090909090909,4.818181818181818,4.090909090909091
27,27,3628774,Rental unit in Rotterdam · ★4.73 · 3 bedrooms · 3 beds · 1.5 shared baths,,7395931,Gilles,,,,f,1.0,4,,Kralingen West,51.92459,4.50305,Private room in rental unit,Private room,2,,1.5 shared baths,,3.0,[],,1,1125,1125,37,0,0,2014-07-27,2022-09-11,4.73,4.78,4.68,4.78,4.89,4.84,4.76,t,1,0,0,0.32,5.0,4.965517241379311,4.551724137931035
28,28,3670038,Rental unit in Rotterdam · ★4.60 · 2 bedrooms · 4 beds · 2.5 baths,"location in the middle of the center. near all restaurants, shops and bars.<br />but the street is not very busy, perfect if you travel with your children.<br />There is a garden and a children's playground.",17799395,Manon,within an hour,90%,99%,t,1.0,3,"Rotterdam, South Holland, Netherlands",Dijkzigt,51.9124,4.46728,Entire rental unit,Entire home/apt,4,,2.5 baths,,4.0,[],211.0,2,1125,1125,369,47,5,2014-07-31,2023-12-14,4.6,4.64,4.46,4.9,4.88,4.88,4.58,f,1,1,0,3.22,4.914285714285715,4.880952380952381,4.4
29,29,3856476,Loft in Rotterdam · ★4.66 · 1 bedroom · 2 beds · 1 bath,"The apartment is located in a lively shopping street. Shops, supermarkets, and bistro's are very close by (50 m), open 7 days per week till 9 PM. You can do your laundry two doors down the road. <br />Close to Rotterdam Ahoy, which is famous for events, congresses, exhibitions and concerts.",19894111,Arjen & Nathalie,within an hour,100%,100%,f,6.0,8,"Rotterdam, South Holland, Netherlands",Hillesluis,51.89486,4.51058,Entire loft,Entire home/apt,3,,1 bath,,2.0,[],79.0,2,1125,1125,743,55,1,2014-09-07,2023-12-06,4.66,4.78,4.78,4.89,4.89,4.35,4.69,f,3,3,0,6.57,4.96401028277635,4.938303341902314,4.215938303341902
30,30,3868358,Rental unit in Rotterdam · ★4.72 · 1 bedroom · 2 beds · 1 bath,"Shops, supermarkets, and bistro's are very closeby. You can do your laundry two doors down the road. Close to Rotterdam Ahoy, which is famous for events, congresses, exhibitions and concerts.  Direct connection by tram to the City Centre.",19894111,Arjen & Nathalie,within an hour,100%,100%,f,6.0,8,"Rotterdam, South Holland, Netherlands",Hillesluis,51.89702,4.51201,Entire rental unit,Entire home/apt,3,,1 bath,,2.0,[],76.0,2,1125,1125,688,45,3,2015-05-12,2023-12-04,4.72,4.86,4.81,4.9,4.9,4.43,4.73,f,3,3,0,6.56,4.984126984126984,4.965608465608466,4.3201058201058204
31,31,3885640,Rental unit in Rotterdam · ★4.32 · 1 bedroom · 2 beds · 1.5 baths,"Onze BNB ligt in Rotterdam Noord, dat is een gezellige buurt met veel restaurants en een aantal eetcafe’s.<br />Tram en trein op loopafstand.",20096660,Wij Zijn Danny En Hedwig,,,0%,f,1.0,2,"Rotterdam, ZH, Netherlands",Liskwartier,51.94003,4.47637,Entire rental unit,Entire home/apt,2,,1.5 baths,,2.0,[],60.0,2,1125,1125,19,0,0,2017-04-15,2022-06-06,4.32,4.32,4.26,4.42,4.37,4.32,4.05,f,1,1,0,0.23,4.636363636363637,4.636363636363637,4.090909090909091
32,32,3885660,Townhouse in Rotterdam · ★4.88 · 1 bedroom · 2 beds · 1.5 shared baths,,13768594,Eliza,within an hour,100%,80%,t,2.0,2,,Nesselande,51.97016,4.58396,Private room in townhouse,Private room,2,,1.5 shared baths,,2.0,[],55.0,2,1125,1125,138,7,1,2014-08-29,2023-11-30,4.88,4.83,4.87,4.94,4.97,4.52,4.81,f,2,0,0,1.22,5.0,4.99,4.6
33,33,4313919,Boutique hotel in Rotterdam · 1 bedroom · 2 beds · 1 private bath,"The Kop van Zuid is the place to be for architectural visits. The apartment is located between the bridges Erasmus Bridge and The Hef Bridge, both icons of the city.",9244807,Edwin,within an hour,100%,39%,f,5.0,5,"Rotterdam, South Holland, Netherlands",Kop van Zuid - Entrepot,51.91162,4.49761,Room in boutique hotel,Private room,2,,1 private bath,,2.0,[],547.0,2,90,90,2,0,0,2021-05-09,2022-07-24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,4,0,0,0.06,5.0,5.0,4.0
34,34,4430364,Rental unit in Rotterdam · ★4.97 · 2 bedrooms · 3 beds · 1.5 baths,"The apartment is situated in the building 'De Calypso' in the center of Rotterdam next to the square Schouburgplein. The shopping area (Lijnbaan), restaurants, nightlife, casino, musea, congress centre 'De Doelen', theater and cinema are within the immediate vicinity. But the park 'Wijkpark Het Oude Westen' is at your doorstep as well.",8691402,Alex,within an hour,100%,96%,t,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Cool,51.92069,4.47252,Entire rental unit,Entire home/apt,4,,1.5 baths,,3.0,[],166.0,3,21,21,236,40,2,2014-11-02,2023-12-03,4.97,4.99,5.0,4.99,4.98,4.98,4.91,f,1,1,0,2.12,4.987341772151899,4.955696202531645,4.6835443037974684
35,35,4684683,Rental unit in Rotterdam · ★4.91 · 1 bedroom · 2 beds · 1.5 baths,"Welcome to the Graaf Florisstraat, (URL HIDDEN) in Rotterdam, within walking distance of the Central Station as well as the city centre and the Blijdorp Zoo. Bikes are for rent and you can relax in our quiet garden.",4661950,Jet & Frank,within an hour,100%,98%,t,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Middelland,51.92049,4.45883,Private room in rental unit,Private room,3,,1.5 baths,,2.0,[],110.0,1,1125,1125,597,45,2,2014-11-28,2023-12-17,4.91,4.92,4.97,4.97,4.95,4.81,4.83,f,1,0,0,5.41,4.981751824817518,4.970802919708029,4.507299270072993
36,36,4921646,Home in Rotterdam · 3 bedrooms · 4 beds · 1.5 baths,"Kralingen is a chic gem set in the east of Rotterdam. With an expansive backyard, where the rest of the city is always welcome for a barbecue: the Kralingse Bos.<br /><br />The east of Rotterdam boasts the city’s biggest park: the Kralingse Bos. This green oasis is a major attraction for everyone seeking to flee the busy urban streets for some fresh air and peace and quiet. Not that it’s always quiet; the Kralingse Bos is often humming with pleasant activity on sunny weekend afternoons. Nature lovers enjoy a stroll through the forest. Sun-worshipers bask on the lake’s small beach. Toddlers splash around in the wading pool or play at the petting zoo. Bigger children will love exploring the climbing park. People rollerblade, jog and cycle to their heart’s content around the lake and go sailing on the lake, while snacks are served at tables on the waterfront terraces.",25348830,Ejal,within an hour,100%,100%,f,1.0,1,"Rotterdam, Zuid-Holland, Netherlands",Kralingen Oost,51.920158,4.529109,Entire home,Entire home/apt,8,,1.5 baths,,4.0,[],,3,60,60,1,1,0,2022-12-25,2022-12-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0.08,5.0,5.0,5.0
37,37,5074353,Townhouse in Rotterdam  · ★4.69 · 4 bedrooms · 4 beds · 2 baths,,59539064,Joy,,,,f,1.0,1,,Kralingen Oost,51.92412,4.5134,Entire townhouse,Entire home/apt,8,,2 baths,,4.0,[],350.0,6,20,20,13,5,0,2016-03-17,2023-08-07,4.69,4.69,4.23,4.77,4.85,4.85,4.46,f,1,1,0,0.14,5.0,4.888888888888889,4.777777777777778
38,38,5156210,Home in Rotterdam · ★4.82 · 3 bedrooms · 4 beds · 2.5 baths,"Relaxed , close to lakes and close to city center",26658229,Gerard,within a day,100%,80%,t,2.0,2,"Rotterdam, Zuid-Holland, Netherlands",Hillegersberg Zuid,51.94412,4.47531,Entire home,Entire home/apt,6,,2.5 baths,,4.0,[],158.0,3,1125,1125,119,25,1,2015-05-11,2023-12-05,4.82,4.8,4.79,4.93,4.98,4.78,4.81,f,1,1,0,1.13,5.0,5.0,4.425287356321839
39,39,5216321,Rental unit in Rotterdam · ★4.34 · Studio · 1 bed · 1.5 baths,"The apartment is surrounded by all kinds of facilities. For example, historical Delftshaven is just 15 min walk. Nice green area like the beautiful Heemraadsingel is around the corner. All kinds of restaurants & shops you can find in just a few minutes walking. Of course if you like you can use our bikes. Also tram, metro & bus is available nearby and take you anywhere in the city.",23729777,Erik,within an hour,100%,100%,f,1.0,2,"Rotterdam, Zuid-Holland, Netherlands",Nieuwe Westen,51.91659,4.45203,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],69.0,2,550,1125,350,33,4,2015-02-17,2023-12-18,4.34,4.49,3.92,4.77,4.81,4.43,4.4,f,1,1,0,3.25,4.861924686192468,4.820083682008368,3.8619246861924688
40,40,5313738,Home in Rotterdam · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,,6926282,Marion,a few days or more,40%,42%,f,3.0,4,,Nieuwe Westen,51.92083,4.45576,Private room in home,Private room,1,,1 shared bath,,1.0,[],33.0,3,25,25,53,4,0,2015-08-17,2023-06-09,4.83,4.85,4.62,4.94,4.9,4.94,4.86,f,3,0,0,0.52,4.976190476190476,4.9523809523809526,4.404761904761905
41,41,5398600,Hotel in Rotterdam · ★4.15 · 10 bedrooms · 14 beds · 10 shared baths,"Our hotel is approximately 10 minutes away from the city centre. The hotel is situated in Historic Delfshaven with plenty of restaurants and pubs. Museums, concert halls (Doelen, Ahoy) and the Van Nelle factory are also nearby.",27986148,Jan,a few days or more,40%,58%,f,9.0,9,"Rotterdam, Zuid-Holland, Netherlands",Nieuwe Westen,51.90912628173828,4.452959060668945,Room in hotel,Private room,16,,10 shared baths,,14.0,[],113.0,2,1125,1125,20,1,0,2015-04-26,2023-05-01,4.15,4.3,4.15,4.65,4.55,4.4,4.1,f,9,0,0,0.19,4.666666666666667,4.666666666666667,3.8333333333333335
