listing_id,name,neighborhood_overview,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price_$,minimum_nights,maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms,reviews_per_month
2417980,Bed and breakfast in Rotterdam · ★4.90 · 1 bedroom · 2 beds · 1 shared bath,,12357210,within an hour,100%,100%,t,1.0,1,Private room in bed and breakfast,Private room,2,,1 shared bath,,2.0,[],75.0,2,60,60,217,27,1,2014-03-20,2023-11-26,4.9,4.9,4.92,4.96,4.96,4.85,4.9,f,1,0,0,1.83
2692286,Townhouse in Rotterdam · ★4.87 · 2 bedrooms · 1 bed · 1 shared bath,Nice and quiet with free parking.,13768594,within an hour,100%,80%,t,2.0,2,Private room in townhouse,Private room,1,,1 shared bath,,1.0,[],55.0,2,31,31,62,2,0,2014-05-08,2023-05-13,4.87,4.8,4.93,4.93,4.97,4.7,4.78,f,2,0,0,0.53
3461082,Rental unit in Rotterdam · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,"The apartment is very close to the Kralingse Plas, a very nice part of Rotterdam. Here you also have good restaurants and hangouts.",4932763,within a day,100%,0%,f,1.0,2,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],70.0,180,365,365,16,0,0,2014-07-14,2020-08-30,4.75,4.81,4.69,4.69,4.75,4.56,4.63,f,1,1,0,0.14
3561821,Rental unit in Rotterdam · ★4.42 · 2 bedrooms · 3 beds · 3 baths,"The area is conveniently closed to the Main Central Station and to the city center. If you have a car, access to and from main highways is fast and well indicated. There is plenty of green in the surroundings and the people are friendly.",6052050,within a few hours,100%,0%,f,1.0,1,Entire rental unit,Entire home/apt,2,,3 baths,,3.0,[],86.0,60,240,1125,12,0,0,2015-12-20,2022-07-08,4.42,4.25,4.08,4.92,4.92,5.0,4.08,f,1,1,0,0.12
3628774,Rental unit in Rotterdam · ★4.73 · 3 bedrooms · 3 beds · 1.5 shared baths,,7395931,,,,f,1.0,4,Private room in rental unit,Private room,2,,1.5 shared baths,,3.0,[],,1,1125,1125,37,0,0,2014-07-27,2022-09-11,4.73,4.78,4.68,4.78,4.89,4.84,4.76,t,1,0,0,0.32
3670038,Rental unit in Rotterdam · ★4.60 · 2 bedrooms · 4 beds · 2.5 baths,"location in the middle of the center. near all restaurants, shops and bars.<br />but the street is not very busy, perfect if you travel with your children.<br />There is a garden and a children's playground.",17799395,within an hour,90%,99%,t,1.0,3,Entire rental unit,Entire home/apt,4,,2.5 baths,,4.0,[],211.0,2,1125,1125,369,47,5,2014-07-31,2023-12-14,4.6,4.64,4.46,4.9,4.88,4.88,4.58,f,1,1,0,3.22
3856476,Loft in Rotterdam · ★4.66 · 1 bedroom · 2 beds · 1 bath,"The apartment is located in a lively shopping street. Shops, supermarkets, and bistro's are very close by (50 m), open 7 days per week till 9 PM. You can do your laundry two doors down the road. <br />Close to Rotterdam Ahoy, which is famous for events, congresses, exhibitions and concerts.",19894111,within an hour,100%,100%,f,6.0,8,Entire loft,Entire home/apt,3,,1 bath,,2.0,[],79.0,2,1125,1125,743,55,1,2014-09-07,2023-12-06,4.66,4.78,4.78,4.89,4.89,4.35,4.69,f,3,3,0,6.57
3868358,Rental unit in Rotterdam · ★4.72 · 1 bedroom · 2 beds · 1 bath,"Shops, supermarkets, and bistro's are very closeby. You can do your laundry two doors down the road. Close to Rotterdam Ahoy, which is famous for events, congresses, exhibitions and concerts.  Direct connection by tram to the City Centre.",19894111,within an hour,100%,100%,f,6.0,8,Entire rental unit,Entire home/apt,3,,1 bath,,2.0,[],76.0,2,1125,1125,688,45,3,2015-05-12,2023-12-04,4.72,4.86,4.81,4.9,4.9,4.43,4.73,f,3,3,0,6.56
3885640,Rental unit in Rotterdam · ★4.32 · 1 bedroom · 2 beds · 1.5 baths,"Onze BNB ligt in Rotterdam Noord, dat is een gezellige buurt met veel restaurants en een aantal eetcafe’s.<br />Tram en trein op loopafstand.",20096660,,,0%,f,1.0,2,Entire rental unit,Entire home/apt,2,,1.5 baths,,2.0,[],60.0,2,1125,1125,19,0,0,2017-04-15,2022-06-06,4.32,4.32,4.26,4.42,4.37,4.32,4.05,f,1,1,0,0.23
3885660,Townhouse in Rotterdam · ★4.88 · 1 bedroom · 2 beds · 1.5 shared baths,,13768594,within an hour,100%,80%,t,2.0,2,Private room in townhouse,Private room,2,,1.5 shared baths,,2.0,[],55.0,2,1125,1125,138,7,1,2014-08-29,2023-11-30,4.88,4.83,4.87,4.94,4.97,4.52,4.81,f,2,0,0,1.22
4313919,Boutique hotel in Rotterdam · 1 bedroom · 2 beds · 1 private bath,"The Kop van Zuid is the place to be for architectural visits. The apartment is located between the bridges Erasmus Bridge and The Hef Bridge, both icons of the city.",9244807,within an hour,100%,39%,f,5.0,5,Room in boutique hotel,Private room,2,,1 private bath,,2.0,[],547.0,2,90,90,2,0,0,2021-05-09,2022-07-24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,4,0,0,0.06
4430364,Rental unit in Rotterdam · ★4.97 · 2 bedrooms · 3 beds · 1.5 baths,"The apartment is situated in the building 'De Calypso' in the center of Rotterdam next to the square Schouburgplein. The shopping area (Lijnbaan), restaurants, nightlife, casino, musea, congress centre 'De Doelen', theater and cinema are within the immediate vicinity. But the park 'Wijkpark Het Oude Westen' is at your doorstep as well.",8691402,within an hour,100%,96%,t,1.0,1,Entire rental unit,Entire home/apt,4,,1.5 baths,,3.0,[],166.0,3,21,21,236,40,2,2014-11-02,2023-12-03,4.97,4.99,5.0,4.99,4.98,4.98,4.91,f,1,1,0,2.12
4684683,Rental unit in Rotterdam · ★4.91 · 1 bedroom · 2 beds · 1.5 baths,"Welcome to the Graaf Florisstraat, (URL HIDDEN) in Rotterdam, within walking distance of the Central Station as well as the city centre and the Blijdorp Zoo. Bikes are for rent and you can relax in our quiet garden.",4661950,within an hour,100%,98%,t,1.0,1,Private room in rental unit,Private room,3,,1.5 baths,,2.0,[],110.0,1,1125,1125,597,45,2,2014-11-28,2023-12-17,4.91,4.92,4.97,4.97,4.95,4.81,4.83,f,1,0,0,5.41
4921646,Home in Rotterdam · 3 bedrooms · 4 beds · 1.5 baths,"Kralingen is a chic gem set in the east of Rotterdam. With an expansive backyard, where the rest of the city is always welcome for a barbecue: the Kralingse Bos.<br /><br />The east of Rotterdam boasts the city’s biggest park: the Kralingse Bos. This green oasis is a major attraction for everyone seeking to flee the busy urban streets for some fresh air and peace and quiet. Not that it’s always quiet; the Kralingse Bos is often humming with pleasant activity on sunny weekend afternoons. Nature lovers enjoy a stroll through the forest. Sun-worshipers bask on the lake’s small beach. Toddlers splash around in the wading pool or play at the petting zoo. Bigger children will love exploring the climbing park. People rollerblade, jog and cycle to their heart’s content around the lake and go sailing on the lake, while snacks are served at tables on the waterfront terraces.",25348830,within an hour,100%,100%,f,1.0,1,Entire home,Entire home/apt,8,,1.5 baths,,4.0,[],,3,60,60,1,1,0,2022-12-25,2022-12-25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0.08
5074353,Townhouse in Rotterdam  · ★4.69 · 4 bedrooms · 4 beds · 2 baths,,59539064,,,,f,1.0,1,Entire townhouse,Entire home/apt,8,,2 baths,,4.0,[],350.0,6,20,20,13,5,0,2016-03-17,2023-08-07,4.69,4.69,4.23,4.77,4.85,4.85,4.46,f,1,1,0,0.14
5156210,Home in Rotterdam · ★4.82 · 3 bedrooms · 4 beds · 2.5 baths,"Relaxed , close to lakes and close to city center",26658229,within a day,100%,80%,t,2.0,2,Entire home,Entire home/apt,6,,2.5 baths,,4.0,[],158.0,3,1125,1125,119,25,1,2015-05-11,2023-12-05,4.82,4.8,4.79,4.93,4.98,4.78,4.81,f,1,1,0,1.13
5216321,Rental unit in Rotterdam · ★4.34 · Studio · 1 bed · 1.5 baths,"The apartment is surrounded by all kinds of facilities. For example, historical Delftshaven is just 15 min walk. Nice green area like the beautiful Heemraadsingel is around the corner. All kinds of restaurants & shops you can find in just a few minutes walking. Of course if you like you can use our bikes. Also tram, metro & bus is available nearby and take you anywhere in the city.",23729777,within an hour,100%,100%,f,1.0,2,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],69.0,2,550,1125,350,33,4,2015-02-17,2023-12-18,4.34,4.49,3.92,4.77,4.81,4.43,4.4,f,1,1,0,3.25
5313738,Home in Rotterdam · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,,6926282,a few days or more,40%,42%,f,3.0,4,Private room in home,Private room,1,,1 shared bath,,1.0,[],33.0,3,25,25,53,4,0,2015-08-17,2023-06-09,4.83,4.85,4.62,4.94,4.9,4.94,4.86,f,3,0,0,0.52
5398600,Hotel in Rotterdam · ★4.15 · 10 bedrooms · 14 beds · 10 shared baths,"Our hotel is approximately 10 minutes away from the city centre. The hotel is situated in Historic Delfshaven with plenty of restaurants and pubs. Museums, concert halls (Doelen, Ahoy) and the Van Nelle factory are also nearby.",27986148,a few days or more,40%,58%,f,9.0,9,Room in hotel,Private room,16,,10 shared baths,,14.0,[],113.0,2,1125,1125,20,1,0,2015-04-26,2023-05-01,4.15,4.3,4.15,4.65,4.55,4.4,4.1,f,9,0,0,0.19
5502133,Townhouse in Rotterdam · ★4.64 · 2 bedrooms · 3 beds · 1 bath,"Nature and water. You'll see a lot of sports practiced here: running, biking, rowing, horse back riding. The people living here are a mix of young families and older friendly people.",10403266,,,100%,f,1.0,2,Entire townhouse,Entire home/apt,4,,1 bath,,3.0,[],175.0,3,31,31,28,4,0,2015-04-13,2023-07-28,4.64,4.61,4.22,4.82,4.86,4.75,4.3,f,1,1,0,0.26
5557758,Condo in Rotterdam · ★4.80 · 1 bedroom · 1 bed · 1 bath,"Kralingen, cozy, relaxed and safe. Close to Oudedijk street where you can find several cafes, restaurants  bars, and a great park.",4978203,,,100%,f,1.0,1,Entire condo,Entire home/apt,2,,1 bath,,1.0,[],135.0,4,30,1125,60,5,0,2015-03-24,2023-07-23,4.8,4.88,4.85,4.92,4.98,4.86,4.8,f,1,1,0,0.56
5640686,Rental unit in Rotterdam · ★4.94 · 2 bedrooms · 4 beds · 1 bath,"The Witte de Withstraat is a very lively street in the city center, with cultural institutions, restaurants, galleries, cool shops, and bars. <br />The apartment is right in the middle, across from a former school building, which is now a museum/gallery space for modern art (Tent/Witte de With). <br /><br />The street is on the so-called Art Axis (Kunst-as) between the museums on the Leuvehaven and the Museum Park (Boijmans Van Beuningen, Het Nieuwe Instituut, the Natural History Museum, and the Kunsthal). The park is a short walk from the apartment. Festivals and markets are held here all year round (including the Parade, Open Air Cinema, Swan Market, Museum Night, etc.).<br /><br />New in town? There's no better place from which to discover Rotterdam than from this apartment. A must see.",575281,,,,f,1.0,1,Entire rental unit,Entire home/apt,5,,1 bath,,4.0,[],195.0,2,365,1125,187,37,4,2015-03-23,2023-12-15,4.94,4.91,4.91,4.98,4.99,4.93,4.84,f,1,1,0,1.75
5766744,Rental unit in Rotterdam · ★4.82 · 1 bedroom · 1 bed · 1.5 baths,,29918299,,,56%,f,1.0,1,Entire rental unit,Entire home/apt,3,,1.5 baths,,1.0,[],120.0,3,30,30,11,5,0,2015-04-05,2023-08-21,4.82,4.82,4.73,5.0,5.0,4.73,4.91,f,1,1,0,0.1
5768576,Rental unit in Rotterdam · ★4.80 · 1 bedroom · 1 bed · 1.5 baths,"Location is central and is within a very short walking distance of all main activities. So it’s just five-minute walk to the city center, where you can find a variety of restaurants, business districts, busy shopping areas and pubs. Blijdorp Zoo is 1 km away. And if you need any supplies, groceries store is very near.",29927312,within a day,64%,74%,f,3.0,6,Private room in rental unit,Private room,2,,1.5 baths,,1.0,[],100.0,1,1125,1125,15,6,0,2015-10-12,2023-09-29,4.8,4.53,4.53,4.86,4.53,4.93,4.71,f,3,0,0,0.15
5943392,Home in Rotterdam · ★4.80 · 3 bedrooms · 2 beds · 2 baths,A very rustique familiy neighbourhood.,302893992,within an hour,100%,79%,t,81.0,96,Entire home,Entire home/apt,4,,2 baths,,2.0,[],,3,53,53,5,3,0,2022-10-17,2023-08-11,4.8,4.8,4.2,5.0,4.8,4.8,4.6,f,14,14,0,0.35
5967526,Condo in Rotterdam · ★4.59 · 1 bedroom · 1 bed · 1.5 shared baths,"Location is central and is within a very short walking distance of all main activities. So it’s just five-minute walk to the city center, where you can find a variety of restaurants, business districts, busy shopping areas and pubs. Blijdorp Zoo is 1 km away. And if you need any supplies, groceries store is very near.",29927312,within a day,64%,74%,f,3.0,6,Private room in condo,Private room,2,,1.5 shared baths,,1.0,[],70.0,1,1125,1125,78,23,0,2015-06-30,2023-10-29,4.59,4.59,4.61,4.87,4.49,4.88,4.6,f,3,0,0,0.76
5967858,Bed and breakfast in Rotterdam · ★4.66 · 1 bedroom · 2 beds · 1.5 baths,,29927312,within a day,64%,74%,f,3.0,6,Private room in bed and breakfast,Private room,2,,1.5 baths,,2.0,[],75.0,1,1125,1125,41,13,0,2015-07-19,2023-09-01,4.66,4.68,4.59,4.71,4.51,4.85,4.51,f,3,0,0,0.4
6009466,Condo in Rotterdam · 1 bedroom · 1 bed · 1 bath,"All amenities are within easy reach, such as public transport, arterial roads (A20), catering establishments and the cosy Kleiweg Kwartier with all shops and supermarkets. Water sports club/ marina ''Aegier'' and tennis club ''Lommerrijk'' are a few minutes' walk away. By bike, you can be in the centre of Rotterdam in 10-15 minutes.",29522046,within a few hours,100%,25%,f,1.0,2,Entire condo,Entire home/apt,2,,1 bath,,1.0,[],130.0,5,33,33,2,2,0,2023-01-03,2023-09-30,4.5,4.5,4.5,4.5,4.0,5.0,4.5,f,1,1,0,0.17
6090097,Rental unit in Rotterdam · ★4.70 · 4 bedrooms · 5 beds · 1 bath,"Opposite our house is a public in- and outdoor swimmingpool. In summer you can relax on the grass or play with your children. The Zoo, CS, city centre, main traffic roads and places of entertainment are nearby. Our house is perfect for families with (small) children.",31579292,,,100%,f,1.0,1,Entire rental unit,Entire home/apt,8,,1 bath,,5.0,[],150.0,3,42,42,37,5,0,2015-07-22,2023-07-31,4.7,4.78,4.65,4.84,4.84,4.81,4.57,f,1,1,0,0.36
6104060,Rental unit in Rotterdam · ★4.80 · 4 bedrooms · 2 beds · 2.5 baths,"The house is nearby the SS Rotterdam and Deliplein, a square with good restaurants and bars. You can also walk easily to Hotel New York. <br />In front of the house there is a basketball and soccerfield, a skatepark and a little beach. In 10 minutes you're in the center of Rotterdam by bike or watertaxi.",31670824,within a day,100%,100%,f,1.0,1,Entire rental unit,Entire home/apt,5,,2.5 baths,,2.0,[],300.0,2,1125,1125,15,4,0,2015-05-03,2023-10-16,4.8,4.92,4.85,4.77,4.92,4.54,4.69,f,1,1,0,0.14
6311595,Rental unit in Rotterdam · ★4.67 · 2 bedrooms · 2 beds · 1.5 baths,,7752728,within a day,100%,88%,f,1.0,2,Entire rental unit,Entire home/apt,4,,1.5 baths,,2.0,[],,2,120,120,48,5,0,2018-05-12,2023-10-08,4.67,4.59,4.47,4.88,4.78,4.71,4.47,f,1,1,0,0.7
