id,name,neighborhood_overview,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price_$,minimum_nights,maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
791792,Loft in Antwerp · ★4.83 · 1 bedroom · 2 beds · 1 bath,Still young and upcoming neighbourhood. Everything is on walking distance:<br />Grocery store +/- 50 m<br />Bar +/- 50 m<br />Restaurant +/- 50 m<br />Bike station +/- 20 m<br />Tram +/- 30 m,3424990,within a few hours,100%,30%,f,2,2,Entire loft,Entire home/apt,2,,1 bath,,2.0,[],91.0,4,1125,1125,6,0,0,2013-12-31,2022-03-23,4.83,4.67,4.83,4.83,5.0,4.5,4.67,f,1,1,0,0,0.05
813969,Rental unit in Antwerp · ★4.65 · 2 bedrooms · 3 beds · 1.5 baths,"The area near the river is called ‘t Zuid, just a 10-minute walk to the old city center and well connected to public transport. <br />In the neighborhood, you can find supermarkets, banks, trendy bars, designer shops, and many restaurants only a few minutes away.<br />""'T Zuid"" is known is hip and unique atmosphere.",4277604,within an hour,96%,94%,t,2,3,Entire rental unit,Entire home/apt,6,,1.5 baths,,3.0,[],259.0,1,1125,1125,127,15,0,2015-06-17,2023-10-24,4.65,4.71,4.47,4.76,4.83,4.88,4.58,f,2,2,0,0,1.22
891884,Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,"aplace/antwerp is situated in the middle of the old town of Antwerp. On the corner of ‘de Groenplaats’ and the Big Market, the designer shops and the ‘Kloosterstraat’, known for its antique en curiosa. The ideal spot to discover Antwerp!<br /><br />De Vrijdagmarkt is a quiet square that hasn’t been discovered by the big audience yet and ideal to meet local Antwerp people. <br /><br />Very unique and traditonal is the weekly auction on - fridays - on the ‘Vrijdagmarkt’. Here you can buy for a cheap price exclusive, retro and sometimes even valuable objects.<br /><br />On this square you’ll also find the world famous Plantin-Moretus museum. The only printing/publisher in the world from the Renaissances and baroque time which has kept remained.<br /><br />In the ‘Nationalestraat’ (= around the corner) and in the neighbourhood you can spend your money in various designer shops of famous Antwerp and international designers. (Dries Van Noten, Filippa K, Diane von Furstenberg, Paul Smith,, St",234077,within an hour,100%,100%,t,4,4,Room in boutique hotel,Hotel room,2,,1 private bath,,1.0,[],180.0,1,1125,1125,3,0,0,2019-10-20,2022-05-10,5.0,5.0,5.0,5.0,5.0,5.0,4.67,f,4,2,0,0,0.06
891907,Rental unit in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,"Aplace/antwerp is situated in the middle of the old town of Antwerp. On the corner of ‘de Groenplaats’ and the Big Market, the designer shops (the famous Dries van Noten shop is around the corner) and the ‘Kloosterstraat’, known for its antique en curiosa. The ideal spot to discover Antwerp! <br /><br />De Vrijdagmarkt is a quiet square that hasn’t been discovered by the big audience yet and ideal to meet local Antwerp people. Very unique and traditonal is the weekly auction on - fridays - on the ‘Vrijdagmarkt’. Here you can buy for a cheap price exclusive, retro and sometimes even valuable objects.<br /><br />When staring out of your windows you'll see the beautifully enlightened building of the Museum Plantin-Moretues. The only printing/publisher in the world from the Renaissances and baroque time which has kept remained and the only museum in the world on the UNESCO World Heritage list - so for sure a must see!<br /><br />In the ‘Nationalestraat’ (= around the corner) and in the nei",234077,within an hour,100%,100%,t,4,4,Entire rental unit,Entire home/apt,3,,1.5 baths,,1.0,[],214.0,2,366,1125,24,4,1,2014-06-12,2023-12-10,5.0,5.0,5.0,5.0,5.0,5.0,4.83,f,4,2,0,0,0.21
959200,Rental unit in Antwerp · ★4.82 · 1 bedroom · 1 bed · 1.5 baths,,4715596,within an hour,100%,97%,t,3,3,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],85.0,3,60,60,72,4,0,2013-11-19,2023-08-13,4.82,4.83,4.8,4.79,4.89,4.62,4.8,f,3,3,0,0,0.59
991824,Rental unit in Antwerp · ★4.60 · 3 bedrooms · 5 beds · 1 bath,,5446991,within an hour,100%,99%,f,2,2,Entire rental unit,Entire home/apt,5,,1 bath,,5.0,[],77.0,1,1125,1125,332,34,1,2013-04-22,2023-12-03,4.6,4.69,4.59,4.87,4.9,4.56,4.59,f,2,2,0,0,2.55
1050693,Rental unit in Antwerp · ★4.61 · 3 bedrooms · 5 beds · 1 bath,,5446991,within an hour,100%,99%,f,2,2,Entire rental unit,Entire home/apt,5,,1 bath,,5.0,[],77.0,1,1125,1125,31,7,0,2013-10-06,2023-11-19,4.61,4.73,4.47,4.83,4.83,4.6,4.57,t,2,2,0,0,0.25
1172376,Rental unit in Antwerp · ★4.52 · 1 bedroom · 2 beds · 1 bath,,6068286,within an hour,100%,96%,f,2,10,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,[],80.0,3,1125,1125,23,4,0,2013-07-01,2023-09-28,4.52,4.52,4.71,4.68,4.45,4.86,4.5,f,2,2,0,0,0.18
1172507,Rental unit in Antwerp · ★4.33 · 1 bedroom · 1 bed · 1 bath,,6068286,within an hour,100%,96%,f,2,10,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],85.0,2,1125,1125,191,3,0,2013-09-15,2023-08-02,4.33,4.28,4.51,4.55,4.4,4.65,4.3,f,2,2,0,0,1.53
1184623,Loft in Antwerp · ★4.69 · 2 bedrooms · 2 beds · 3 baths,The old port of Antwerp is one of the best areas for dining and evening leisure.,4865806,within a few hours,100%,57%,f,3,3,Entire loft,Entire home/apt,4,,3 baths,,2.0,[],225.0,2,90,90,36,2,0,2013-10-09,2023-05-30,4.69,4.67,4.58,4.75,4.83,4.92,4.57,f,2,2,0,0,0.29
1227242,Boat in Antwerp · ★4.75 · 10 bedrooms · 20 beds · 2 shared baths,,4193029,within a day,95%,70%,f,2,5,Private room in boat,Private room,16,,2 shared baths,,20.0,[],83.0,1,1125,1125,60,17,0,2020-02-23,2023-11-26,4.75,4.75,4.25,4.73,4.78,4.95,4.62,f,2,0,2,0,1.28
1328770,Boat in Antwerp · ★4.50 · 11 bedrooms · 16 beds · 2 shared baths,,4193029,within a day,95%,70%,f,2,5,Private room in boat,Private room,16,,2 shared baths,,16.0,[],77.0,1,1125,1125,200,24,1,2013-07-25,2023-12-01,4.5,4.51,4.21,4.69,4.66,4.85,4.37,f,2,0,2,0,1.58
1444602,Rental unit in Antwerp · ★4.82 · 2 bedrooms · 2 beds · 1 bath,,7755956,,,100%,f,1,2,Entire rental unit,Entire home/apt,3,,1 bath,,2.0,[],80.0,5,62,62,18,8,0,2013-08-06,2023-08-31,4.82,4.65,4.82,4.71,4.88,4.94,4.82,f,1,1,0,0,0.14
1504952,Bed and breakfast in Antwerp · ★4.75 · 4 bedrooms · 6 beds · 4.5 baths,"Artist area-Dageraadplaats.<br />Close to Central station, shopping area and the major Concerthalls, like Elizabethzaal or Roma and Rataplan.",573329,within a day,100%,75%,f,2,7,Private room in bed and breakfast,Private room,10,,4.5 baths,,6.0,[],500.0,1,1125,1125,56,2,0,2013-08-22,2023-09-15,4.75,4.77,4.88,4.93,4.91,4.45,4.7,f,1,0,1,0,0.44
1808782,Loft in Antwerp · ★4.96 · 1 bedroom · 1 bed · 1 bath,"dynamic part of the city with many places to have a drink and a bite. art galleries, fashion shops, fashion museum, filmmuseum, art museum (currently closed for renovation), near the river Scheldt.",9478810,within a few hours,100%,96%,t,1,1,Entire loft,Entire home/apt,2,,1 bath,,1.0,[],119.0,2,60,60,257,17,2,2013-12-17,2023-12-17,4.96,4.94,4.98,4.98,4.96,4.93,4.93,f,1,1,0,0,2.1
1897272,Loft in Antwerp · ★4.84 · 1 bedroom · 3 beds · 3 baths,"The 300m2 loft is located in the nice neighborhood ""Harmonie"", in the Southern part of the city center, next to the historical (website hidden) mixture of young families, orthodox Jews and Mediterranean families make this a nice and safe neighborhood. Thanks to the diversity of cultures, you will find different Polish, Moroccan and jewish grocery stores. On walking distance you will find a couple of supermarkets, restaurants and bars.",9174116,within an hour,100%,98%,t,2,2,Entire loft,Entire home/apt,6,,3 baths,,3.0,[],270.0,2,30,30,62,0,0,2014-01-02,2019-07-29,4.84,4.62,4.72,4.85,4.69,4.4,4.64,f,2,2,0,0,0.51
2051988,Rental unit in Antwerpen · ★4.41 · 1 bedroom · 1 bed · 1 bath,,10515379,within an hour,100%,100%,f,1,2,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],55.0,1,365,365,27,14,1,2022-09-07,2023-12-03,4.41,4.63,4.07,4.52,4.67,4.7,4.48,t,1,1,0,0,1.7
2230592,Loft in Antwerp · ★4.52 · 1 bedroom · 1 bed · 1.5 shared baths,Close to the New Park Noord,3488121,within a few hours,100%,64%,f,2,2,Private room in loft,Private room,2,,1.5 shared baths,,1.0,[],61.0,1,1125,1125,54,8,1,2014-01-27,2023-12-09,4.52,4.47,4.72,4.57,4.7,4.74,4.53,f,2,1,1,0,0.45
2282418,Condo in Antwerpen · ★4.51 · 1 bedroom · 2 beds · 1 bath,"Rustige residentiële buurt in buurt van park, winkels en openbaar vervoer.<br /><br />Winkels: Supermarkt, kruidenierswinkel, wassalon, bakker, slager.<br />Restaurants voor ieder wat wils (vis, pizza, pasta, wok, ..)<br />Park: op 5 minuten wandelen vind je het prachtig domein Rivierenhof waar je kan wandelen, drinken, eten, mini-golf spelen, kinderboerderij bezoeken, ...",11633996,within an hour,100%,100%,f,1,1,Entire condo,Entire home/apt,4,,1 bath,,2.0,[],75.0,2,30,1125,167,38,1,2015-05-25,2023-12-10,4.51,4.69,4.52,4.8,4.8,4.39,4.5,f,1,1,0,0,1.6
2543695,Rental unit in Antwerp · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,"Aplace/antwerp is situated in the middle of the old town of Antwerp. On the corner of ‘de Groenplaats’ and the Big Market, the designer shops (the famous Dries van Noten shop is around the corner) and the ‘Kloosterstraat’, known for its antique en curiosa. The ideal spot to discover Antwerp! <br /><br />THE AUCTION ON FRIDAY<br />De Vrijdagmarkt is a quiet square that hasn’t been discovered by the big audience yet and ideal to meet local Antwerp people. Very unique and traditonal is the weekly auction on - fridays - on the ‘Vrijdagmarkt’. Here you can buy for a cheap price exclusive, retro and sometimes even valuable objects.<br /> <br />PLANTIN-MORETUS MUSEUM<br />When staring out of your windows you'll see the beautifully enlightened building of the Museum Plantin-Moretues. The only printing/publisher in the world from the Renaissances and baroque time which has kept remained and the only museum in the world on the UNESCO World Heritage list - so for sure a must see!<br /> <br />DESI",234077,within an hour,100%,100%,t,4,4,Entire rental unit,Entire home/apt,3,,1.5 baths,,2.0,[],214.0,1,366,1125,32,4,0,2014-11-17,2023-08-28,4.91,4.88,5.0,4.97,4.94,4.97,4.81,f,4,2,0,0,0.29
2602613,Home in Antwerp · ★4.91 · 1 bedroom · 1 bed · 1 bath,Our house is located just a 10 minute walk from Antwerp central station in trendy BOHO district<br />In a nice and quiet street .,13330269,within an hour,100%,100%,t,1,1,Entire home,Entire home/apt,2,,1 bath,,1.0,[],65.0,2,1125,1125,246,48,3,2014-04-07,2023-12-24,4.91,4.9,4.84,4.94,4.91,4.6,4.86,f,1,1,0,0,2.08
2609419,Rental unit in Antwerp · ★4.72 · 1 bedroom · 2 beds · 1 bath,"Te voet ben je in no-time in de gezellige buurt aan het Museum van Schone Kunsten waar het moeilijk kiezen wordt tussen de vele cafés en restaurants. Ook de befaamde modebuurt met het Modemuseum, Dries Van Noten en andere stijlvolle adresjes ligt op 5 minuten wandelen. In de Kloosterstraat kan je dan weer terecht voor antiek en curiosa, ook op zondagnamiddag!<br />Voor je boodschappen kan je terecht in supermarkt Carrefour net achter de hoek. Erg handig want deze is ook op zondag geopend!<br /><br />Op de Vlaamse Kaai zijn er - naast de vele designwinkels - ook enkele delicatessenwinkels en bakkerij Dellafaille (top!) waar je zeker iets naar je gading vindt.",10342058,within a few hours,100%,79%,t,2,2,Entire rental unit,Entire home/apt,4,,1 bath,,2.0,[],65.0,2,1125,1125,39,5,0,2014-11-11,2023-08-22,4.72,4.85,4.74,4.95,4.89,4.71,4.63,f,2,2,0,0,0.35
2659281,Townhouse in Antwerpen · ★5.0 · 3 bedrooms · 4 beds · 2 baths,Het huis bevindt zich in een zeer rustige doodlopende straat. de buren zijn zeer betrokken en behulpzaam.,6602849,within a few hours,100%,100%,t,2,2,Entire townhouse,Entire home/apt,6,,2 baths,,4.0,[],200.0,2,10,10,9,5,0,2022-08-01,2023-07-24,5.0,4.89,4.78,5.0,5.0,5.0,4.89,f,2,1,1,0,0.53
2682808,Townhouse in Antwerp · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,"I love my neighborhood because it is a very calm and quiet place just 15 munites away from the city center. It is also a multicultural neighborhood with  good vibes, especially in summer you can find everybody outside and children playing",13733939,within an hour,100%,100%,t,1,1,Private room in townhouse,Private room,2,,1 shared bath,,1.0,[],47.0,2,1125,1125,488,56,2,2014-04-05,2023-12-01,4.64,4.78,4.91,4.77,4.74,4.56,4.62,f,1,0,1,0,4.12
2819412,Home in Antwerpen · ★4.48 · 3 bedrooms · 5 beds · 2 shared baths,"The house is 200 meters away from a very cosy place named 'Dageraad plaats', where you can find a lot of nice restaurants and bars. There's a supermarket 50meters from the house. On the corner of the street, there's also a gas station with a small shop.<br />If you stay for a longer period, you can find a washing salon in the street from the bnb.",14423888,within a few hours,100%,88%,t,1,1,Private room in home,Private room,5,,2 shared baths,,5.0,[],41.0,1,1125,1125,154,30,1,2015-06-06,2023-12-10,4.48,4.49,4.36,4.79,4.73,4.4,4.47,f,1,0,1,0,1.48
3518676,Rental unit in Antwerpen · ★4.49 · 2 bedrooms · 3 beds · 1 bath,"Het appartement is gelegen op 150 m van de Grote markt en de Scheldekaaien. Het is een gezellige straat en waar je culinair kunt genieten van verschillende restaurantjes.<br /><br />Tussen de historische panden en galerieën, is er voor de kinderen een klein speeltuintje dat zich midden in de straat bevindt.<br /><br />Vanuit het appartement is het ongeveer 10 minuten lopen naar het trendy Zuid met zijn eigenzinnige winkeltjes, vintagezaakjes en hippe uitgaansgelegenheden.<br /><br />Ook loop je vanuit de Zirkstraat in korte tijd naar de winkelstraten, historische monumenten en vele cafeetjes en terrassen waar je kunt genieten van het Bourgondische Vlaamse stadsleven.",17717089,,,100%,f,1,2,Entire rental unit,Entire home/apt,5,,1 bath,,3.0,[],175.0,2,30,1125,72,0,0,2014-10-28,2020-03-08,4.49,4.71,4.49,4.73,4.86,4.86,4.51,t,1,1,0,0,0.65
3581864,Rental unit in Antwerpen · ★4.33 · 1 bedroom · 1 bed · 1 bath,Surrounded by many cool bars but always quiet inside. Museum of Fine Arts and the Muhka at 100m distance!,7386200,within a day,100%,63%,f,2,4,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],163.0,3,1125,1125,125,0,0,2014-08-12,2018-08-27,4.33,4.58,4.34,4.32,4.26,4.81,4.43,f,1,1,0,0,1.09
3857702,Condo in Antwerp · ★4.98 · 2 bedrooms · 2 beds · 1 bath,"You are in the heart of the Old City center, the street where all the mayors used to live. A very quite area in the evenings and close to all interesting places : Restaurants, Musea, Shopping area, Hystorical buildings.",19891615,within a few hours,100%,86%,t,3,4,Entire condo,Entire home/apt,4,,1 bath,,2.0,[],200.0,2,1125,1125,43,6,0,2015-04-20,2023-10-29,4.98,4.91,4.93,5.0,5.0,4.98,4.81,f,3,2,1,0,0.41
3860392,Townhouse in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,"You are in the heart of the Old City center, the street where all the mayors used to live. A very quite area in the evenings and close to all interesting places : Restaurants, Musea, Shopping area, Hystorical buildings.",19891615,within a few hours,100%,86%,t,3,4,Private room in townhouse,Private room,2,,1 private bath,,1.0,[],90.0,2,1125,1125,5,4,0,2014-12-12,2023-10-23,5.0,4.8,5.0,5.0,5.0,5.0,4.6,f,3,2,1,0,0.05
4030176,Rental unit in Antwerp · ★4.24 · 1 bedroom · 1 bed · 1.5 baths,"alles is dichtbij... restaurantjes, cafés, gay bars, clubs, 5 goede bakkers, slagers, 5 supermarkten, multi-culti shopping, chinese buurt op wandelafstand<br />en een fantastische Portugese mercado op de gelijkvloerse verdieping! probeer hun klaargemaakte gerechten die je alleen maar hoeft op te warmen...",9438737,within a day,80%,94%,f,1,1,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],60.0,14,90,90,174,17,1,2014-09-25,2023-12-10,4.24,4.4,4.14,4.62,4.61,4.29,4.28,f,1,1,0,0,1.54
4178600,Home in Antwerp · ★4.69 · 1 bedroom · 1 bed · 1.5 shared baths,"My house is in Zurenborg, well known for its beautiful architechture. The cosy Dageraadplaats with its bars and restaurants is only 1 minute walking.",21679611,within an hour,100%,100%,t,1,1,Private room in home,Private room,2,,1.5 shared baths,,1.0,[],79.0,1,7,7,185,9,1,2015-01-10,2023-12-02,4.69,4.86,4.79,4.89,4.87,4.69,4.74,t,1,0,1,0,1.7
4265913,Townhouse in Antwerp · ★4.85 · 2 bedrooms · 3 beds · 1.5 baths,"De vakantiewoning ligt vlakbij het Centraal Station, de Zoo, de Opera. De wijk Borgerhout<br />'Boho' is een bruisend deel van de stad met een multicultureel en artistiek, bohemien karakter. Overal duiken hippe cafés en restaurants op.<br />De Elisabethzaal, de Lotto Arena en het Sportpaleis; de grote concertzalen van Antwerpen, zijn vlakbij.",22144864,within an hour,100%,69%,t,2,3,Entire townhouse,Entire home/apt,4,,1.5 baths,,3.0,[],256.0,2,1125,1125,27,4,0,2014-11-23,2023-10-23,4.85,4.96,5.0,4.96,4.93,4.44,4.85,f,2,2,0,0,0.24
4322521,Rental unit in Antwerp · ★4.86 · 2 bedrooms · 4 beds · 2 baths,"Located in the center of Antwerp (south of city center), the apartment is situated with an abundance of restaurants, bars, shopping, landmarks and galleries. A great location for couples and families visiting Antwerp and seeking a great place to stay. <br />Due to its proximity to the city center, most places are within walking distance. However, you can also take the tramway or bus – both are 50 meters from the apartment – to help you explore or get around the city:<br />- Central Station (most beautiful train station in the world!)<br />- palace on the meir: a genuine palace. The originally 18th century building used to be the home/residence of important rulers such as Napoleon Bonaparte.  <br />- Antwerp Zoo is one of the oldest and best-known zoos in Europe<br />- Aquatopia is like living under the ocean in the future<br />- Pirates Island is a great place for children aged between 2 and twelve. Here, you can meet Peg Leg and his mates where you can play for hours in a renovated wa",15216532,within an hour,100%,99%,t,4,4,Entire rental unit,Entire home/apt,8,,2 baths,,4.0,[],161.0,2,1125,1125,314,14,0,2014-12-27,2023-10-16,4.86,4.86,4.83,4.95,4.96,4.8,4.81,f,2,2,0,0,2.86
4332020,Rental unit in Antwerpen · ★4.89 · 1 bedroom · 1 bed · 1 bath,rustige residentiële buurt met alle nodige winkels en resto's op minder dan 5 minuten lopen,1754396,within an hour,100%,93%,t,2,2,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],60.0,1,14,14,18,7,1,2015-08-21,2023-12-10,4.89,5.0,4.94,4.94,5.0,4.72,4.83,f,2,2,0,0,0.18
4425751,Condo in Antwerp · ★4.73 · 2 bedrooms · 2 beds · 1 shared bath,"The apartment is very close to Central Station, the central bus stop station Roosevelt & known for it's cosy coffee places, sweet restaurants and direct connection to the old city centre & the big shopping places. Two streets further you can enjoy the green lung of Antwerp.",3093188,within an hour,100%,61%,f,1,1,Private room in condo,Private room,4,,1 shared bath,,2.0,[],64.0,1,1125,1125,112,9,2,2014-12-29,2023-12-16,4.73,4.85,4.68,4.86,4.89,4.67,4.68,f,1,0,1,0,1.02
4502646,Loft in Antwerp · ★4.78 · Studio · 2 beds · 1.5 baths,"The historic part of Antwerp’s city center is full of charming buildings, restaurants, cafés, shops. Our apartment is located in a car free street (after 11am).",13059720,within an hour,100%,95%,t,1,2,Entire loft,Entire home/apt,4,,1.5 baths,,2.0,[],82.0,1,1125,1125,800,60,5,2014-12-07,2023-12-10,4.78,4.85,4.81,4.87,4.92,4.91,4.77,f,1,1,0,0,7.26
4733497,Cottage in Antwerpen · ★4.65 · 4 bedrooms · 4 beds · 1 bath,,24249803,,,,f,1,3,Entire cottage,Entire home/apt,6,,1 bath,,4.0,[],190.0,2,60,60,120,0,0,2015-01-19,2021-12-05,4.65,4.8,4.48,4.94,4.91,4.98,4.64,f,1,1,0,0,1.1
4748466,Condo in Antwerpen · ★5.0 · 2 bedrooms · 2 beds · 1 bath,Rustige straat in een levendige buurt,24507004,within an hour,100%,100%,f,2,2,Entire condo,Entire home/apt,4,,1 bath,,2.0,[],165.0,1,28,1125,9,4,0,2022-07-02,2023-11-05,5.0,4.78,4.89,5.0,5.0,4.89,4.78,t,1,1,0,0,0.5
4920115,Rental unit in Antwerpen · ★4.71 · 1 bedroom · 2 beds · 1 bath,"The flat is located near the green heart of Antwerp: 3 parks including the open-air museum 'Het Middelheim', conference centre Antwerp Expo and cultural temple 'De Singel', and cosy restaurants within walking distance. <br /><br />Its practical location near the motorway exits makes it the perfect base for visiting Antwerp, but also Brussels (35 km away).",25217689,within an hour,100%,100%,f,1,1,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,[],174.0,2,90,90,7,0,0,2015-01-02,2015-09-14,4.71,4.71,4.57,5.0,5.0,3.86,4.71,f,1,1,0,0,0.06
